word,count,percentage
die,527056159,5.6289
und,488790440,5.2202
der,477357554,5.0981
in,267256433,2.8543
das,201678723,2.1539
den,179276860,1.9147
zu,173178704,1.8495
mit,168108251,1.7954
ist,162122156,1.7314
von,154642196,1.6516
für,132395842,1.4140
auf,128403397,1.3713
nicht,125735767,1.3428
es,125610823,1.3415
ein,124208637,1.3265
im,122763935,1.3111
auch,122695302,1.3104
sich,118016482,1.2604
ich,116607908,1.2454
sie,115394863,1.2324
eine,110046318,1.1753
dem,96322184,1.0287
des,95346208,1.0183
an,77791338,0.8308
als,77440658,0.8271
werden,71702746,0.7658
bei,71353746,0.7620
sind,64124366,0.6848
dass,63700459,0.6803
so,63657852,0.6799
oder,63629965,0.6796
wie,63473313,0.6779
aus,63325510,0.6763
wir,59393319,0.6343
aber,58563134,0.6254
wird,58544530,0.6252
nach,57657400,0.6158
man,56423064,0.6026
er,56210928,0.6003
hat,53998460,0.5767
noch,53371073,0.5700
einen,50628252,0.5407
nur,49240747,0.5259
um,48971191,0.5230
am,48218904,0.5150
einer,47944903,0.5120
zum,47209465,0.5042
kann,45119388,0.4819
einem,43899635,0.4688
über,43541965,0.4650
war,41900214,0.4475
wenn,41074598,0.4387
haben,40236664,0.4297
durch,38149345,0.4074
dann,36722348,0.3922
vor,36163025,0.3862
zur,35526682,0.3794
mehr,34735137,0.3710
was,34613950,0.3697
diese,32103304,0.3429
da,30954655,0.3306
können,30257832,0.3231
schon,29758652,0.3178
sein,29687214,0.3171
bis,28762499,0.3072
wurde,27853955,0.2975
hier,26999088,0.2883
sehr,26746879,0.2857
wieder,26713329,0.2853
immer,25811967,0.2757
uns,24311040,0.2596
ihr,23691425,0.2530
mir,23423114,0.2502
mal,22160353,0.2367
ihre,22074171,0.2357
alle,22039875,0.2354
dieser,22011946,0.2351
doch,21744708,0.2322
habe,21635781,0.2311
gibt,21453915,0.2291
vom,21352952,0.2280
mich,20689740,0.2210
unter,20676744,0.2208
du,18595011,0.1986
ja,18540785,0.1980
keine,17319218,0.1850
gut,16918288,0.1807
damit,16734983,0.1787
hatte,16295008,0.1740
ganz,16260980,0.1737
beim,16047323,0.1714
eines,16033620,0.1712
denn,15985544,0.1707
muss,15968164,0.1705
nun,15823717,0.1690
Zeit,15689672,0.1676
seine,15578168,0.1664
jetzt,14970087,0.1599
etwas,14901416,0.1591
gegen,14795923,0.1580
dabei,14637758,0.1563
also,14541743,0.1553
viel,14403221,0.1538
diesem,14362931,0.1534
ab,13958579,0.1491
viele,13878923,0.1482
zwei,13697187,0.1463
anderen,13692064,0.1462
ohne,13430780,0.1434
selbst,13401697,0.1431
alles,13112041,0.1400
sowie,13092545,0.1398
Menschen,13090468,0.1398
waren,12931527,0.1381
seit,12877565,0.1375
einfach,12791885,0.1366
geht,12768629,0.1364
Jahr,12762818,0.1363
dieses,12733271,0.1360
heute,12672297,0.1353
sondern,12288226,0.1312
neue,12169030,0.1300
wurden,12051708,0.1287
Jahren,11995093,0.1281
bereits,11928294,0.1274
machen,11875703,0.1268
sollte,11768102,0.1257
ob,11724263,0.1252
weil,11468462,0.1225
soll,11402924,0.1218
ihrer,11390090,0.1216
ihren,11307168,0.1208
dazu,11226163,0.1199
dies,11185546,0.1195
ersten,10906924,0.1165
zwischen,10844297,0.1158
ihnen,10684754,0.1141
bin,10624857,0.1135
lassen,10584014,0.1130
andere,10512207,0.1123
meine,10458805,0.1117
seiner,10314961,0.1102
Jahre,9874593,0.1055
unsere,9823401,0.1049
leben,9806794,0.1047
wer,9717290,0.1038
neuen,9617311,0.1027
weiter,9587805,0.1024
kommt,9579839,0.1023
müssen,9516884,0.1016
einmal,9437305,0.1008
wo,9420775,0.1006
dort,9365552,0.1000
erst,9338828,0.0997
kein,9291700,0.0992
natürlich,9225046,0.0985
ihn,9180662,0.0980
diesen,9028469,0.0964
jedoch,8850361,0.0945
konnte,8843894,0.0945
ihm,8818710,0.0942
würde,8764340,0.0936
finden,8713911,0.0931
drei,8684205,0.0927
seinen,8588300,0.0917
will,8563540,0.0915
nichts,8539745,0.0912
uhr,8492900,0.0907
macht,8481848,0.0906
allem,8294399,0.0886
sei,8292991,0.0886
Euro,8249839,0.0881
wirklich,8121831,0.0867
ins,8111413,0.0866
steht,8068749,0.0862
kommen,7991114,0.0853
daß,7955537,0.0850
gerade,7893774,0.0843
Deutschland,7888129,0.0842
während,7886715,0.0842
Tag,7826404,0.0836
allerdings,7802105,0.0833
Kinder,7799247,0.0833
dafür,7756085,0.0828
wäre,7706939,0.0823
welche,7686320,0.0821
Ende,7624024,0.0814
wohl,7538960,0.0805
mein,7521692,0.0803
einige,7435008,0.0794
Weg,7328048,0.0783
jeder,7302780,0.0780
letzten,7187526,0.0768
sehen,7143925,0.0763
allen,7120528,0.0760
weitere,7086359,0.0757
besonders,7076311,0.0756
zwar,6886172,0.0735
neben,6868008,0.0733
vielen,6867682,0.0733
vielleicht,6859242,0.0733
beiden,6837223,0.0730
Welt,6834127,0.0730
ihrem,6732840,0.0719
unternehmen,6656828,0.0711
wollen,6638675,0.0709
liegt,6553546,0.0700
Teil,6536149,0.0698
seinem,6531944,0.0698
stehen,6520717,0.0696
bzw.,6452598,0.0689
fast,6441440,0.0688
Stadt,6379613,0.0681
erste,6376661,0.0681
euch,6376558,0.0681
gar,6309929,0.0674
sogar,6306802,0.0674
geben,6276523,0.0670
deutschen,6180542,0.0660
möglich,6177569,0.0660
etwa,6170314,0.0659
schnell,6167845,0.0659
Seite,6165110,0.0658
großen,6165055,0.0658
Frage,6153626,0.0657
denen,6142522,0.0656
eigentlich,6141918,0.0656
unserer,6139564,0.0656
gehen,6123766,0.0654
gute,6112390,0.0653
Arbeit,6110941,0.0653
recht,6057430,0.0647
oft,6030186,0.0644
genau,5954108,0.0636
lange,5952272,0.0636
wenig,5923939,0.0633
leider,5922393,0.0633
hatten,5870555,0.0627
davon,5815860,0.0621
Thema,5814807,0.0621
gemacht,5810657,0.0621
Fall,5797491,0.0619
eigenen,5785538,0.0618
dir,5785125,0.0618
könnte,5777259,0.0617
unser,5771092,0.0616
große,5760049,0.0615
zusammen,5739304,0.0613
bietet,5690958,0.0608
besser,5617018,0.0600
Frau,5610299,0.0599
möchte,5583884,0.0596
darauf,5562045,0.0594
gab,5485703,0.0586
Spiel,5479154,0.0585
rund,5437449,0.0581
Art,5429867,0.0580
gleich,5350355,0.0571
hätte,5342261,0.0571
Platz,5325552,0.0569
Prozent,5316649,0.0568
Beispiel,5308956,0.0567
sicher,5275855,0.0563
daher,5268996,0.0563
wissen,5240196,0.0560
kleinen,5240002,0.0560
paar,5147022,0.0550
de,5141460,0.0549
meiner,5139728,0.0549
kam,5127160,0.0548
findet,5113448,0.0546
sagen,5110118,0.0546
gerne,5084099,0.0543
deshalb,5074246,0.0542
zurück,5069281,0.0541
jeden,5060089,0.0540
sollten,5059742,0.0540
statt,5058266,0.0540
lässt,5006302,0.0535
Liebe,5001629,0.0534
richtig,4974021,0.0531
kleine,4947770,0.0528
stellen,4938838,0.0527
fragen,4924943,0.0526
deren,4904709,0.0524
worden,4851329,0.0518
weiß,4845456,0.0517
sollen,4844176,0.0517
tun,4831023,0.0516
erhalten,4797684,0.0512
wegen,4793222,0.0512
eher,4787445,0.0511
weniger,4762414,0.0509
direkt,4749813,0.0507
ebenfalls,4725803,0.0505
darüber,4718361,0.0504
ging,4699787,0.0502
Informationen,4683845,0.0500
nie,4647720,0.0496
Bereich,4645765,0.0496
später,4621618,0.0494
ganze,4618437,0.0493
dich,4605431,0.0492
hin,4596921,0.0491
warum,4592933,0.0491
hab,4542170,0.0485
vier,4526227,0.0483
nehmen,4523561,0.0483
sieht,4477392,0.0478
geschichte,4469021,0.0477
je,4465469,0.0477
Kunden,4458804,0.0476
keinen,4430578,0.0473
werde,4416735,0.0472
aller,4316850,0.0461
kurz,4306376,0.0460
Geld,4283525,0.0457
bekommen,4272226,0.0456
gilt,4233736,0.0452
Möglichkeit,4228599,0.0452
nächsten,4218301,0.0451
deutlich,4209947,0.0450
außerdem,4209527,0.0450
Frauen,4185904,0.0447
arbeiten,4174685,0.0446
bleibt,4169224,0.0445
klar,4155264,0.0444
kaum,4143307,0.0442
eben,4142236,0.0442
meinen,4141756,0.0442
wollte,4128276,0.0441
Ziel,4110884,0.0439
Berlin,4105881,0.0439
zeigt,4077553,0.0435
Mann,4038691,0.0431
Buch,4016717,0.0429
rahmen,4007146,0.0428
konnten,3999445,0.0427
besten,3981715,0.0425
bitte,3968161,0.0424
somit,3965725,0.0424
stand,3958287,0.0423
sagt,3935300,0.0420
Bild,3902028,0.0417
darf,3898718,0.0416
Entwicklung,3879463,0.0414
gehört,3873753,0.0414
pro,3867803,0.0413
zudem,3867229,0.0413
wichtig,3864527,0.0413
Internet,3860873,0.0412
Wasser,3811133,0.0407
spielen,3800809,0.0406
bieten,3795573,0.0405
Tage,3768168,0.0402
neu,3763576,0.0402
Woche,3762257,0.0402
Minuten,3760781,0.0402
unseren,3736115,0.0399
stellt,3730795,0.0398
Verfügung,3725323,0.0398
bisher,3721338,0.0397
deutsche,3716681,0.0397
verschiedenen,3711943,0.0396
Land,3681785,0.0393
guten,3680422,0.0393
Ort,3653903,0.0390
schön,3647269,0.0390
gegenüber,3612065,0.0386
solche,3611414,0.0386
kosten,3610902,0.0386
Form,3608743,0.0385
weit,3598391,0.0384
weiteren,3578989,0.0382
Wochen,3568594,0.0381
zweiten,3564553,0.0381
musste,3561457,0.0380
Haus,3560872,0.0380
dank,3560744,0.0380
eigene,3553191,0.0379
meisten,3551285,0.0379
bleiben,3544219,0.0379
insgesamt,3535418,0.0378
Grund,3513498,0.0375
Problem,3504705,0.0374
besteht,3503102,0.0374
sagte,3501365,0.0374
jede,3501343,0.0374
nachdem,3490781,0.0373
ebenso,3473497,0.0371
beide,3457619,0.0369
anders,3451372,0.0369
danach,3447805,0.0368
Familie,3441632,0.0368
meinem,3440222,0.0367
alten,3412261,0.0364
bringen,3412252,0.0364
daran,3406610,0.0364
Leute,3391322,0.0362
aufgrund,3387492,0.0362
Eltern,3383464,0.0361
gemeinsam,3372745,0.0360
sofort,3366928,0.0360
dessen,3338812,0.0357
halten,3333333,0.0356
nutzen,3324427,0.0355
Hand,3323297,0.0355
lesen,3322683,0.0355
leicht,3319687,0.0355
anfang,3317815,0.0354
jedem,3302711,0.0353
bekannt,3298956,0.0352
Hilfe,3274423,0.0350
Blick,3272376,0.0349
schließlich,3262337,0.0348
dadurch,3255202,0.0348
Zukunft,3250708,0.0347
Namen,3250681,0.0347
sowohl,3246072,0.0347
überhaupt,3245872,0.0347
unserem,3243204,0.0346
zunächst,3218197,0.0344
Stunden,3200450,0.0342
hinter,3196322,0.0341
hast,3191932,0.0341
heißt,3173510,0.0339
Stelle,3158189,0.0337
finde,3149917,0.0336
Einsatz,3138992,0.0335
Team,3138169,0.0335
trotz,3136772,0.0335
Millionen,3131615,0.0334
insbesondere,3130207,0.0334
gewesen,3126328,0.0334
Musik,3125291,0.0334
endlich,3109250,0.0332
sonst,3104335,0.0332
weise,3086830,0.0330
per,3078550,0.0329
innerhalb,3072146,0.0328
Schule,3066170,0.0327
fünf,3055384,0.0326
zeigen,3050215,0.0326
fest,3048058,0.0326
ganzen,3047065,0.0325
führen,3030668,0.0324
führt,3029009,0.0323
Artikel,3015689,0.0322
stark,3009799,0.0321
allein,3003250,0.0321
liegen,3002327,0.0321
Personen,2997780,0.0320
Mai,2990497,0.0319
Seiten,2986582,0.0319
oben,2974539,0.0318
trotzdem,2972379,0.0317
Bilder,2972005,0.0317
meist,2970604,0.0317
Film,2963453,0.0316
obwohl,2961509,0.0316
Daten,2961118,0.0316
Erfolg,2947792,0.0315
würden,2928232,0.0313
jedes,2917818,0.0312
kind,2909912,0.0311
verschiedene,2893944,0.0309
Probleme,2891222,0.0309
neues,2873772,0.0307
Gott,2863320,0.0306
hinaus,2842870,0.0304
Abend,2832415,0.0302
mehrere,2827323,0.0302
damals,2800081,0.0299
Preis,2790545,0.0298
lernen,2788349,0.0298
beispielsweise,2778719,0.0297
einzelnen,2764394,0.0295
Gruppe,2752444,0.0294
weiterhin,2750627,0.0294
deine,2749056,0.0294
nämlich,2745046,0.0293
fand,2732164,0.0292
zumindest,2731639,0.0292
Juni,2724050,0.0291
Richtung,2722964,0.0291
gesagt,2718966,0.0290
hallo,2718329,0.0290
Gesellschaft,2700958,0.0288
mitarbeiter,2696934,0.0288
einigen,2696295,0.0288
lang,2695926,0.0288
schwer,2693690,0.0288
hoch,2676379,0.0286
Programm,2674749,0.0286
Augen,2673973,0.0286
welches,2670552,0.0285
dennoch,2669196,0.0285
geworden,2663559,0.0284
Rolle,2658202,0.0284
wert,2651066,0.0283
